Application_id,Submission_date,District_id,District_name,Proposed_use,max_storeys,residential_units,non_residential_gfa_m2,inside_mtsa,mtsa_corridor,Distance to Transit (meter),approval_score,synthetic_approval,,,,
SP 25 55,10/17/2025,1,Lakeview / Port Credit,Residential Apartments; General Retail Commercial,,85,430,1,Lakeshore BRT,88,98,1,,,,
SP 25 48,9/12/2025,1,Lakeview / Port Credit,Residential Townhouses,,164,0,1,Lakeshore BRT,246,90,1,,,,
SP 24 15,5/6/2024,1,Lakeview / Port Credit,Residential Apartments; General Retail Commercial,122,1100,1899.62,1,Lakeshore BRT,517,93,1,,,,
SP 25 8,2/25/2025,3,Rathwood / Applewood,Residential Apartments,18,433,0,0,Not within a Major Transit Station Area.,111,75,1,,,,
OZ/OPA 25 6,2/26/2025,11,Streetsville,Residential Apartments; General Retail Commercial,,1022,1080,0,Not within a Major Transit Station Area.,120,78,1,,,,
SP 24 31,10/2/2024,5,Malton / Northeast,Industrial General,1,0,69305,0,Not within a Major Transit Station Area.,317,55,0,,,,
OZ/OPA 22 32,12/23/2022,1,Lakeview / Port Credit,Residential Apartments,,1263,0,0,Not within a Major Transit Station Area.,139,70,0,,,,
OZ/OPA 25 8,3/5/2025,2,Port Credit / Clarkson,Residential Apartments,,188,0,0,Not within a Major Transit Station Area.,121,65,0,,,,
SP 24 32,10/4/2024,1,Lakeview / Port Credit,Residential Apartments,29,346,0,1,Hurontario LRT,138,95,1,,,,
SP 25 64,12/4/2025,3,Rathwood / Applewood,Residential Apartments,,285,0,0,Not within a Major Transit Station Area.,84,70,1,,,,
OZ/OPA 24 16,12/17/2024,7,Meadowvale,Residential Apartments; General Retail Commercial,,1342,600,1,Hurontario LRT,218,100,1,,,,
SP 24 59,12/18/2024,5,Malton / Northeast,Office,6,0,11210,1,Hurontario LRT,189,95,1,,,,
SP 21 146,9/9/2021,5,Malton / Northeast,Residential Townhouses,3,15,0,0,Not within a Major Transit Station Area.,63,65,1,,,,
SP 24 22,8/12/2024,5,Malton / Northeast,General Retail Commercial,7,0,7077,1,Hurontario LRT,113,95,1,,,,
OZ/OPA 25 18,8/26/2025,7,Meadowvale,Residential Apartments; General Retail Commercial; Office,,559,1115.06,1,Hurontario LRT,154,100,1,,,,
SP 21 182,11/15/2021,5,Malton / Northeast,Industrial General,4,0,52725,1,Hurontario LRT,256,90,1,,,,
SP 25 54,10/10/2025,3,Rathwood / Applewood,Residential Townhouses,,40,0,0,Not within a Major Transit Station Area.,804,55,1,,,,
SP 22 139,9/27/2022,4,Mississauga Valleys,Residential Apartments; General Retail Commercial,,1110,1862.3,1,Hurontario LRT,54,100,1,,,,
OZ/OPA 24 8,6/7/2024,11,Streetsville,Residential Apartments,,1282,0,0,Not within a Major Transit Station Area.,85,70,1,,,,
SP 22 166,12/23/2022,1,Lakeview / Port Credit,Residential Townhouses,,18,0,1,Hurontario LRT,84,90,1,,,,
SP 24 30,9/25/2024,7,Meadowvale,Residential Apartments,51,1457,0,1,Hurontario LRT,41,95,1,,,,
SP 21 13,2/8/2021,5,Malton / Northeast,Residential Townhouses; Residential Apartments,25,574,0,1,Hurontario LRT,78,95,1,,,,
SP 21 119,7/28/2021,7,Meadowvale,Residential Apartments; General Retail Commercial; Office,,1100,3377,1,Hurontario LRT,193,100,1,,,,
OZ 18 18,12/6/2018,8,Erin Mills,General Retail Commercial; Industrial General,,0,20456,0,Not within a Major Transit Station Area.,934,45,0,,,,
SPM 22 140,9/27/2022,7,Meadowvale,General Retail Commercial,1,0,701.67,0,Not within a Major Transit Station Area.,153,65,1,,,,
SP 25 44,9/2/2025,4,Mississauga Valleys,Residential Apartments; General Retail Commercial,,1882,2596,1,Hurontario LRT,67,100,1,,,,
OPA 24 11,9/16/2024,1,Lakeview / Port Credit,Residential Apartments,,5300,0,1,Lakeshore BRT,183,95,1,,,,
SP 25 3,3/1/2023,7,Meadowvale,Residential Apartments; General Retail Commercial,50,587,229,1,Hurontario LRT,65,100,1,,,,
SP 25 36,7/18/2025,5,Malton / Northeast,General Retail Commercial,,0,9300,0,Not within a Major Transit Station Area.,84,65,0,,,,
SP 25 67,12/16/2025,11,Streetsville,Residential Townhouses,,121,0,0,Not within a Major Transit Station Area.,214,65,1,,,,
SP 20 55,5/19/2020,5,Malton / Northeast,Automotive Service Commercial,1,0,337,0,Not within a Major Transit Station Area.,76,65,1,,,,
SP 25 14,2/28/2025,3,Rathwood / Applewood,Residential Apartments,14,255,0,0,Not within a Major Transit Station Area.,164,75,1,,,,
SP 25 43,8/18/2025,5,Malton / Northeast,General Retail Commercial,,0,1444.3,0,Not within a Major Transit Station Area.,133,65,1,,,,
SP 22 75,5/26/2022,4,Mississauga Valleys,Residential Apartments,33,467,0,1,Hurontario LRT,30,95,1,,,,
OZ 19 20,12/19/2019,11,Streetsville,Residential Detached; Residential Semi-Detached,,322,0,0,Not within a Major Transit Station Area.,942,60,1,,,,
